Adress,Hemsida,Kategori,Namn,NormalizedAdress,lat,lon,geocode_status,geocode_display_name,OSMWebsite,WebsiteFinal,OSMEmail,EmailFinal
Hammarbyvägen 16,,Kulturhus/aktivitets-/föreningshus,Kultur i Sigma,"Hammarbyvägen 16, Stockholm",59.525553,17.9153537,ok,"Eklunds Bowling, 16, Hammarbyvägen, Väsbyskogen, Vilunda, Upplands Väsby, Upplands Väsby kommun, Stockholms län, 194 36, Sverige",,,,
Allévägen 1,,Kulturhus/aktivitets-/föreningshus,Vallentuna kulturhus och bibliotek,"Allévägen 1, Stockholm",59.3294707,17.9763549,ok,"1, Allévägen, Äppelviken, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 167 52, Sverige",,,,
Gamla Norrtäljevägen 791,,Kulturhus/aktivitets-/föreningshus,Kvarnstugan i Brottby,Gamla Norrtäljevägen 791,59.6868171,18.3700151,ok,"Gamla Norrtäljevägen, Hasselbacken, Norrtälje kommun, Stockholms län, 762 93, Sverige",,,,
Lindholmsvägen 245,,Kulturhus/aktivitets-/föreningshus,Orkesta hembygdsgård,"Lindholmsvägen 245, Stockholm",59.4616403,18.3131651,ok,"Lindholmsvägen, Margretelundsparken, Österskär, Österåkers kommun, Stockholms län, 184 52, Sverige",,,,
Gymnasievägen 4B,,Kulturhus/aktivitets-/föreningshus,Vallentuna teater,"Gymnasievägen 4B, Stockholm",59.2423137,17.999197,ok,"Gymnasievägen, Kvarnbergsplan, Sjödalen, Huddinge, Huddinge kommun, Stockholms län, 141 48, Sverige",,,,
Vadavägen 1C,,Kulturhus/aktivitets-/föreningshus,KUBen,"Vadavägen 1C, Stockholm",59.5610075,18.2205292,ok,"Karby bibliotek, 1C, Vadavägen, Karby, Vallentuna kommun, Stockholms län, 186 70, Sverige",,,,
Ekskogenvägen 32,,Kulturhus/aktivitets-/föreningshus,Kårsta-Ekskogens bygdegård,"Ekskogenvägen 32, Stockholm",59.6412864,18.2260554,ok,"Ekskogenvägen, Västanberga, Ekskogen, Vallentuna kommun, Stockholms län, 186 96, Sverige",,,,
"Furuhällsplan 1, 19640 Kungsängen",,Kulturhus/aktivitets-/föreningshus,Kulturhuset i Kungsängen,"Furuhällsplan 1, 19640 Kungsängen",59.478449,17.7513474,ok,"1, Furuhällsplan, Kungsängen, Upplands-Bro kommun, Stockholms län, 196 40, Sverige",,,,
,,Kulturhus/aktivitets-/föreningshus,Kulturhuset,,,,empty_address,,,,,
,,Kulturhus/aktivitets-/föreningshus,Skarpnäcks kulturhus,,,,empty_address,,,,,
,,Kulturhus/aktivitets-/föreningshus,Cyklopen,,,,empty_address,,,,,
,,Kulturhus/aktivitets-/föreningshus,Alviks medborgarhus,,,,empty_address,,,,,
,,Kulturhus/aktivitets-/föreningshus,Trappan Vällingby,,,,empty_address,,,,,
,,Kulturhus/aktivitets-/föreningshus,Skärholmens kulturhus,,,,empty_address,,,,,
,,Kulturhus/aktivitets-/föreningshus,Östberga kulturhus,,,,empty_address,,,,,
,,Kulturhus/aktivitets-/föreningshus,Husby kulturhus,,,,empty_address,,,,,
,,Kulturhus/aktivitets-/föreningshus,Kulturhuset Fanfaren,,,,empty_address,,,,,
,,Kulturhus/aktivitets-/föreningshus,Ahlby Säteri,,,,empty_address,,,,,
Sturegatan 10,,Kulturhus/aktivitets-/föreningshus,Allaktivitetshus,"Sturegatan 10, Stockholm",59.337239,18.0739453,ok,"10, Sturegatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 36, Sverige",,,,
Milstensvägen 52,,Kulturhus/aktivitets-/föreningshus,Aktivitetshus Milot,"Milstensvägen 52, Stockholm",59.3863896,17.9588085,ok,"Milot Aktivitetshuset, 52, Milstensvägen, Lilla Ursvik, Sundbybergs kommun, Stockholms län, 174 46, Sverige",,,,
Sturegatan 12,,Kulturhus/aktivitets-/föreningshus,Folkets hus,"Sturegatan 12, Stockholm",59.3374639,18.0741255,ok,"12, Sturegatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 37, Sverige",,,,
Pluggvägen 6 B–C,,Kulturhus/aktivitets-/föreningshus,Kulturcentrum Kvarnhjulet,"Pluggvägen 6 B–C, Stockholm",59.2410294,18.2272193,ok,"Pluggvägen, Bollmora, Tyresö kommun, Stockholms län, 135 45, Sverige",,,,
"Hurtigs torg 2, 137 64 Jordbro",,Kulturhus/aktivitets-/föreningshus,Aktivitetshuset Nästa Jordbro,"Hurtigs torg 2, 137 64 Jordbro",59.1413976,18.1323709,ok,"Jordbro vårdcentral, 2, Hurtigs Torg, Jordbro, Haninge kommun, Stockholms län, 137 64, Sverige",,,,
"Handenterminalen 2, plan 10, 136 40 Handen",,Kulturhus/aktivitets-/föreningshus,FreeZone,"Handenterminalen 2, plan 10, 136 40 Handen",,,not_found,,,,,
"Poseidons torg 8, 139 46 Handen",,Kulturhus/aktivitets-/föreningshus,Haninges kulturhus,"Poseidons torg 8, 139 46 Handen",59.1672538,18.1393391,ok,"Poseidons Torg, Handen, Haninge kommun, Stockholms län, 136 43, Sverige",,,,
"Vega Allé 61, 136 57 Vega",,Kulturhus/aktivitets-/föreningshus,Vega skola och aktivitetshus,"Vega Allé 61, 136 57 Vega",59.1851633,18.1339744,ok,"Café Vega, 61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
Vega Allé 61,,Kulturhus/aktivitets-/föreningshus,Vega skola och aktivitetshus,"Vega Allé 61, Stockholm",59.1852368,18.1340279,ok,"61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
Vega Allé 61,,Kulturhus/aktivitets-/föreningshus,Vega skola och aktivitetshus – Kulturrum Blackbox,"Vega Allé 61, Stockholm",59.1852368,18.1340279,ok,"61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
Runstensvägen 13,,Kulturhus/aktivitets-/föreningshus,"Träffpunkt Tallhöjden ""Samlingssalen""","Runstensvägen 13, Stockholm",59.1718953,18.1426759,ok,"13, Runstensvägen, Mellanberg, Handen, Haninge kommun, Stockholms län, 136 38, Sverige",,,,
"Rudansvägen 55, 136 50 Handen",,Kulturhus/aktivitets-/föreningshus,Rudans friluftsområde,"Rudansvägen 55, 136 50 Handen",,,not_found,,,,,
Jungfruns gata 419,,Kulturhus/aktivitets-/föreningshus,Träffpunkt Brandbergen,"Jungfruns gata 419, Stockholm",59.1722232,18.1685657,ok,"Jungfruns gata, Brandbergen, Handen, Haninge kommun, Stockholms län, 136 60, Sverige",,,,
Odinsvägen 20,,Kulturhus/aktivitets-/föreningshus,Träffpunkt Dalarö,"Odinsvägen 20, Stockholm",59.1373302,18.4145616,ok,"Odinsvägen, Schweizerdalen, Dalarö, Haninge kommun, Stockholms län, 137 71, Sverige",,,,
Vega Allé 61,,Kulturhus/aktivitets-/föreningshus,Vega skola och aktivitetshus – Kompassen,"Vega Allé 61, Stockholm",59.1852368,18.1340279,ok,"61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
Vega Allé 61,,Kulturhus/aktivitets-/föreningshus,Vega skola och aktivitetshus – Matsalen,"Vega Allé 61, Stockholm",59.1852368,18.1340279,ok,"61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
Vega Allé 61,,Kulturhus/aktivitets-/föreningshus,Vega skola och aktivitetshus – Matstudion,"Vega Allé 61, Stockholm",59.1852368,18.1340279,ok,"61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
Vega Allé 61,,Kulturhus/aktivitets-/föreningshus,Vega skola och aktivitetshus – Nordenskiöld Workshoprum,"Vega Allé 61, Stockholm",59.1852368,18.1340279,ok,"61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
Vendelsö Skolväg 124,,Kulturhus/aktivitets-/föreningshus,Träffpunkt Djurgårdsplan,"Vendelsö Skolväg 124, Stockholm",59.1925898,18.1861168,ok,"124, Vendelsö skolväg, Dalen, Söderby, Handen, Haninge kommun, Stockholms län, 136 71, Sverige",,,,
Vega Allé 61,,Kulturhus/aktivitets-/föreningshus,Vega skola och aktivitetshus – Tågrummet,"Vega Allé 61, Stockholm",59.1852368,18.1340279,ok,"61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
Södra Jordbrovägen 25,,Kulturhus/aktivitets-/föreningshus,Träffpunkt Jordbro,"Södra Jordbrovägen 25, Stockholm",59.1423913,18.1289387,ok,"25, Södra Jordbrovägen, Jordbro, Haninge kommun, Stockholms län, 137 64, Sverige",,,,
Runstensvägen 13,,Kulturhus/aktivitets-/föreningshus,"Träffpunkt Tallhöjden ""Höjden""","Runstensvägen 13, Stockholm",59.1718953,18.1426759,ok,"13, Runstensvägen, Mellanberg, Handen, Haninge kommun, Stockholms län, 136 38, Sverige",,,,
Vega Allé 61,,Kulturhus/aktivitets-/föreningshus,Vega skola och aktivitetshus – Segelkojen,"Vega Allé 61, Stockholm",59.1852368,18.1340279,ok,"61, Vega Allé, Mellanberg, Vega, Haninge kommun, Stockholms län, 136 57, Sverige",,,,
Gabrielstorp 107,,Kulturhus/aktivitets-/föreningshus,Torö Skola,"Gabrielstorp 107, Stockholm",58.8259417,17.8366013,ok,"Gabrielstorp, Nynäshamns kommun, Stockholms län, 149 92, Sverige",,,,
Storbygården 3,,Kulturhus/aktivitets-/föreningshus,Torö Hembygdsförening,"Storbygården 3, Stockholm",58.8446526,17.8205341,ok,"Storbygården, Nynäshamns kommun, Stockholms län, 149 92, Sverige",,,,
Villagatan 5,,Kulturhus/aktivitets-/föreningshus,Stockholm Nynäs Järnvägs Kamratförening,"Villagatan 5, Stockholm",59.3421909,18.07298,ok,"5, Villagatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 32, Sverige",,,,
,,Kulturhus/aktivitets-/föreningshus,Lisö Bygdegård,,,,empty_address,,,,,
Hantverksvägen 2,,Kulturhus/aktivitets-/föreningshus,Assyriska kulturhuset,"Hantverksvägen 2, Stockholm",59.1823562,17.5830508,ok,"Hantverksvägen, Hovsjö industriområde, Hovsjö, Södertälje, Södertälje kommun, Stockholms län, 151 65, Sverige",,,,
Turingevägen 9,,Kulturhus/aktivitets-/föreningshus,Gula Villan,"Turingevägen 9, Stockholm",59.2715397,18.0212498,ok,"Turingevägen, Älvsjö, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 125 43, Sverige",,,,
Engelbrektsvägen 47,,Kulturhus/aktivitets-/föreningshus,Huset på höjden,"Engelbrektsvägen 47, Stockholm",59.5375953,18.0928498,ok,"47-51, Engelbrektsvägen, Ormsta, Vallentuna, Vallentuna kommun, Stockholms län, 186 46, Sverige",,,,
Wilhelm Boys väg 21,,Kulturhus/aktivitets-/föreningshus,Gamla Stäketskolan,"Wilhelm Boys väg 21, Stockholm",59.4726565,17.806717,ok,"21, Wilhelm Boys väg, Kolarängen, Nyboda, Stäket, Järfälla kommun, Stockholms län, 176 75, Sverige",,,,
Ulvsättra gård,,Kulturhus/aktivitets-/föreningshus,Ulvsättra gård,"Ulvsättra gård, Stockholm",,,not_found,,,,,
"Tyra Lundgrensväg 19, 134 40 Gustavsberg",,Kulturhus/aktivitets-/föreningshus,Värmdö kulturhus,"Tyra Lundgrensväg 19, 134 40 Gustavsberg",59.3234004,18.3816051,ok,"Tyra Lundgrens väg, Charlottendal, Gustavsberg, Värmdö kommun, Stockholms län, 134 52, Sverige",,,,
"Länsväg 694, 130 43 Möja",,Kulturhus/aktivitets-/föreningshus,Möja dansbana,"Länsväg 694, 130 43 Möja",59.4083315,18.886452,ok,"SAT Möja, Länsväg 694, Källa strand, Berg, Värmdö kommun, Stockholms län, 130 43, Sverige",,,,
"Sollenkrokavägen 41, 139 73 Djurhamn",,Kulturhus/aktivitets-/föreningshus,Djurö kulturhus,"Sollenkrokavägen 41, 139 73 Djurhamn",,,not_found,,,,,
"Blekängsvägen 14, Gustavsberg",,Kulturhus/aktivitets-/föreningshus,Centrumhuset,"Blekängsvägen 14, Gustavsberg",59.3281493,18.392444,ok,"Blekängsvägen, Gustavsbergs centrum, Gustavsberg, Värmdö kommun, Stockholms län, 134 30, Sverige",,,,
