Adress,Hemsida,Kategori,Namn,NormalizedAdress,lat,lon,geocode_status,geocode_display_name,OSMWebsite,WebsiteFinal,OSMEmail,EmailFinal
"Skogåstorget 7-9, 142 30 Skogås",,Bibliotek,Skogås bibliotek,"Skogåstorget 7-9, 142 30 Skogås",59.2175912,18.1522002,ok,"Skogåstorget, Lyckåsen, Skogås, Drevviksstrand, Huddinge kommun, Stockholms län, 142 30, Sverige",,,,
"Vårby allé 26, 143 40 Vårby",,Bibliotek,Vårby bibliotek med Barnkonsten,"Vårby allé 26, 143 40 Vårby",59.2549997,17.8751325,ok,"Vårby allé, Masmo, Vårby, Huddinge kommun, Stockholms län, 143 30, Sverige",,,,
"Ebba Bååts torg 20, 141 51 Huddinge",,Bibliotek,Flemingsbergs bibliotek,"Ebba Bååts torg 20, 141 51 Huddinge",59.2189231,17.9497146,ok,"Ebba Bååts torg, Visättra, Flemingsberg, Huddinge, Huddinge kommun, Stockholms län, 141 50, Sverige",,,,
Billborgsgatan 3,,Bibliotek,Norrtälje stadsbibliotek,"Billborgsgatan 3, Stockholm",59.7598544,18.7047857,ok,"Billborgsgatan, Gransäter, Fågelsången, Norrtälje, Norrtälje kommun, Stockholms län, 761 30, Sverige",,,,
Rimbo torg 13,,Bibliotek,Rimbo bibliotek,"Rimbo torg 13, Stockholm",,,not_found,,,,,
Sandviksvägen 4a,,Bibliotek,Väddö bibliotek,"Sandviksvägen 4a, Stockholm",59.496027,17.7282909,ok,"4A, Sandviksvägen, Lärksoppen, Brunna, Kungsängen, Upplands-Bro kommun, Stockholms län, 196 36, Sverige",,,,
Fasternavägen 24,,Bibliotek,Rånäs bibliotek,"Fasternavägen 24, Stockholm",59.7948701,18.2888339,ok,"Rånäs Skola, 24, Fasternavägen, Rånäs, Norrtälje kommun, Stockholms län, 762 96, Sverige",,,,
Skolbacken 7,,Bibliotek,Bergshamra bibliotek,"Skolbacken 7, Stockholm",59.6385007,18.6577061,ok,"Skolbacken, Hästängen, Solvik, Bergshamra, Norrtälje kommun, Stockholms län, 760 10, Sverige",,,,
Love Almqvists torg 1,,Bibliotek,Upplands Väsby bibliotek,"Love Almqvists torg 1, Stockholm",59.5208707,17.9016759,ok,"Upplands Väsby bibliotek, 1, Love Almqvists torg, Vilunda, Upplands Väsby, Upplands Väsby kommun, Stockholms län, 194 80, Sverige",,,,
Allévägen 1,bibliotek.vallentuna.se,Bibliotek,Vallentuna bibliotek,"Allévägen 1, Stockholm",59.3294707,17.9763549,ok,"1, Allévägen, Äppelviken, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 167 52, Sverige",,bibliotek.vallentuna.se,,
Vadavägen 1C,bibliotek.vallentuna.se,Bibliotek,Karby bibliotek,"Vadavägen 1C, Stockholm",59.5610075,18.2205292,ok,"Karby bibliotek, 1C, Vadavägen, Karby, Vallentuna kommun, Stockholms län, 186 70, Sverige",,bibliotek.vallentuna.se,,
Bergsjövägen 1,bibliotek.vallentuna.se,Bibliotek,Kårsta bibliotek,"Bergsjövägen 1, Stockholm",59.6540671,18.2744546,ok,"Bergsjövägen, Backa, Eriksdal, Kårsta, Vallentuna kommun, Stockholms län, 186 60, Sverige",,bibliotek.vallentuna.se,,
