Adress,Hemsida,Kategori,Namn
,,Galleri,The Slab
,,Galleri,Konst och folk
,,Galleri,Ekvall & Törnblom
,,Galleri,Rääf
,,Galleri,Wetterling
,,Galleri,Vantörs konstförening
,,Galleri,Honey Gallery
,,Galleri,Nordic Art
,,Galleri,spg
,,Galleri,Galleri
,,Galleri,Index
,,Galleri,Galleri Inuti
,,Galleri,Nordens ljus
,,Galleri,WBL
,,Galleri,Flach
,,Galleri,Anna Bohman
Spetsgatan 2,,Galleri,Olle Olsson kvarteret
Björnstigen 137B,,Galleri,Bergagalleriet
Bergshamra torg 1,,Galleri,Galleri Mun&fot
Posthusgatan 2,,Galleri,Galleri Ekman
Billborgsgatan 3,,Galleri,Lilla K
,,Galleri,Häveröbygdens Konstförening (Hallstaviks konsthall)
Karby byväg 16,,Galleri,Stella Art Galleri
Torsåker Kvarnbacken,,Galleri,The Nut House
NYBROGATAN 3,,Galleri,SKAJS KONST- & ANTIKHANDEL AKTIEBOLAG
BIRGER JARLSGATAN 14,,Galleri,ÅMELLS KONSTHANDEL AKTIEBOLAG
KARLAVÄGEN 17,,Galleri,BÖRJE G ANDERSSON AKTIEBOLAG
SANKT ERIKSGATAN 79,,Galleri,"KONST & RAM, GALLERI S:T ERIK AKTIEBOLAG"
JAKOBSBERGSGATAN 2,,Galleri,Lars Bohman Fine Art AB
SIBYLLEGATAN 65,,Galleri,PROJECT MANAGEMENT I STOCKHOLM AKTIEBOLAG
VALHALLAVÄGEN 78,,Galleri,"Information, Communication, Technology Project Stockholm AB"
SVEAVÄGEN 82,,Galleri,Galleri Solin AB
BANÉRGATAN 10,,Galleri,Hansen Art AB
LINNÉGATAN 42,,Galleri,L BERGVALL INRAMNINGAR AKTIEBOLAG
"Klockarlötesvägen 24, 136 91 Österhaninge",,Galleri,Galleri Kyrkskolan
Vikingavägen 39,,Galleri,Konstpoolen
,,Galleri,Godsmagasinet
Förvaltarvägen 53,,Galleri,Saltskog Gård
Gamla rådhuset,,Galleri,Gamla Rådhuset
Västra Kanalgatan 8,,Galleri,Galleri Kretsen
Övre Torekällgatan 31,,Galleri,Galleri Zebra
"Tyra Lundgrensväg 19, 134 40 Gustavsberg",,Galleri,Värmdö kulturhus - Galleri i
Skytteholmsvägen 2,,Konsthall,Solna Konsthall
"Fullersta Gårdsväg 18, 141 35 Huddinge",,Konsthall,Fullersta gård
"Alfred Nobels allé 7, 141 52 Huddinge",,Konsthall,Art Space
"Skogåstorget 7-9, 142 30 Skogås",,Konsthall,Galleri Lyktan
