name,website,praesidia,category,lat,lon,city
Studio8 Stockholm,http://www.flamencocenter.se/,,dance_school,"59,34791","18,06381",Stockholm
Sturecompagniet,http://sturecompagniet.se/,,dance_club,"59,3364587","18,0733228",Stockholm
SUITE Arkitekter,https://suite-arkitekter.com/,,architectural_designer,"59,34251","18,05889",Stockholm
Suomalainen kirjakauppa Ruotsissa - Finska bokhandeln i Sverige,https://Ingen webbplats,,bookstore,"59,340564","18,034836",Stockholm
Sven-Harrys konstmuseum,http://www.sven-harrys.se,,art_museum,"59,3395121","18,0439153",Stockholm
Svensk biblioteksförening,https://www.biblioteksforeningen.se/,,community_services_non_profits,"59,3354145","18,0653606",Stockholm
Svensk Bokkonst,http://www.svenskbokkonst.se/,,community_services_non_profits,"59,3375524","18,0715913",Stockholm
Svensk Jazz,http://www.svenskjazz.se/,,community_services_non_profits,"59,3356462","18,0305156",Stockholm
Svensk-Tibetanska Skol-och Kulturföreningen,http://tibet-school.org/,,community_services_non_profits,"59,2822482","18,0496102",Stockholm
Svenska Akademiens Nobelbibliotek,http://www.nobelbiblioteket.se/,,library,"59,3253787","18,070869",Stockholm
Svenska Akademiens Nobelbibliotek,https://www.svenskaakademien.se/svenska-akademien/svenska-akademiens-nobelbibliotek,,library,"59,3253611","18,0711111",Stockholm
Svenska Antikvariatföreningen,http://www.svaf.se/,,community_services_non_profits,"59,33751","18,06974",Stockholm
Svenska barnboksinstitutet,http://www.sbi.kb.se,,community_services_non_profits,"59,3432522","18,0530174",Stockholm
Svenska Filminstitutet,http://www.sfi.se,,cinema,"59,3400659","18,1030755",Stockholm
Svenska Folkdansringen,https://folkdansringen.se/,,community_services_non_profits,"59,3196988","17,9898871",Stockholm
Svenska Fotografers Förbund,http://www.sfoto.se/,,community_services_non_profits,"59,3328213","18,0801609",Stockholm
Svenska Förläggareföreningen,http://www.forlaggare.se/,,community_services_non_profits,"59,3404422","18,053498",Stockholm
Svenska Gospelverkstaden,http://www.gospelverkstaden.se/,,community_services_non_profits,"59,3247052","18,0712663",Stockholm
Svenska Tecknare,http://www.svenskatecknare.se/,,community_services_non_profits,"59,32878","18,04009",Stockholm
Svenskt Militärhistoriskt Biblioteks Förlag,http://www.smb.nu,,library,"59,3482492","18,0705886",Stockholm
Sveriges hembygdsförbund,http://www.hembygd.se/,,community_services_non_profits,"59,337738","18,0426271",Stockholm
Sveriges Körförbund,http://www.sverigeskorforbund.se/,,community_services_non_profits,"59,31539","18,07101",Stockholm
Sveriges museum om Förintelsen,https://museumforintelsen.se/,,history_museum,"59,3371335","18,042693",Stockholm
Sveriges VVS & El Museum,http://sverigesvvsmuseum.se/,,museum,"59,3571315","17,9579969",Stockholm
